ASM_1, 904 contigs, total 5203303 bp, min 201 bp, max 436365 bp, avg 5756 bp, N50 193608 bp
W29_D5, 6316 contigs, total 7369144 bp, min 202 bp, max 628743 bp, avg 1167 bp, N50 1451 bp
W2_D1, 2039 contigs, total 970337 bp, min 202 bp, max 12386 bp, avg 476 bp, N50 460 bp
W30_D1, 177 contigs, total 2976305 bp, min 201 bp, max 629881 bp, avg 16815 bp, N50 154211 bp
W30_D5, 2514 contigs, total 10477907 bp, min 213 bp, max 629845 bp, avg 4168 bp, N50 23939 bp
W31_D1, 590 contigs, total 7141473 bp, min 200 bp, max 534602 bp, avg 12104 bp, N50 195927 bp
W31_D5, 778 contigs, total 7227058 bp, min 200 bp, max 534390 bp, avg 9289 bp, N50 195927 bp
W32_D1, 457 contigs, total 7089839 bp, min 201 bp, max 534602 bp, avg 15514 bp, N50 195927 bp
W32_D5, 373 contigs, total 7049247 bp, min 200 bp, max 534664 bp, avg 18899 bp, N50 187884 bp
W33_D1,
W33_D5, 270 contigs, total 7004728 bp, min 200 bp, max 534602 bp, avg 25943 bp, N50 195860 bp
W34_D1, 524 contigs, total 6983816 bp, min 201 bp, max 662476 bp, avg 13328 bp, N50 183184 bp
W34_D5, 247 contigs, total 6843570 bp, min 201 bp, max 662476 bp, avg 27707 bp, N50 194570 bp
W35_D1, 464 contigs, total 6934845 bp, min 201 bp, max 662476 bp, avg 14946 bp, N50 194722 bp
W35_D5, 269 contigs, total 6853752 bp, min 201 bp, max 662476 bp, avg 25479 bp, N50 183184 bp
W36_D1, 945 contigs, total 7155725 bp, min 201 bp, max 662476 bp, avg 7572 bp, N50 165562 bp
W36_D5, 240 contigs, total 6843340 bp, min 201 bp, max 662476 bp, avg 28514 bp, N50 183184 bp
W37_D1, 707 contigs, total 7040569 bp, min 201 bp, max 662476 bp, avg 9958 bp, N50 196199 bp
W37_D5, 271 contigs, total 6853669 bp, min 201 bp, max 662476 bp, avg 25290 bp, N50 183184 bp
W38_D1, 359 contigs, total 6889454 bp, min 201 bp, max 645990 bp, avg 19191 bp, N50 195157 bp
W38_D5, 272 contigs, total 6852633 bp, min 201 bp, max 662476 bp, avg 25194 bp, N50 194386 bp
W39_D1, 1633 contigs, total 7543656 bp, min 201 bp, max 660720 bp, avg 4620 bp, N50 160319 bp
W39_D5, 230 contigs, total 6835400 bp, min 201 bp, max 662476 bp, avg 29719 bp, N50 183184 bp
W3_D1, 965 contigs, total 6572357 bp, min 202 bp, max 91919 bp, avg 6811 bp, N50 20988 bp
W40_D1, 1054 contigs, total 14648410 bp, min 201 bp, max 528581 bp, avg 13898 bp, N50 93555 bp
W40_D5, 535 contigs, total 7692701 bp, min 201 bp, max 822376 bp, avg 14379 bp, N50 121468 bp
W41_D1, 6093 contigs, total 13144167 bp, min 201 bp, max 678783 bp, avg 2157 bp, N50 44988 bp
W41_D5, 167 contigs, total 7563333 bp, min 202 bp, max 526213 bp, avg 45289 bp, N50 152960 bp
W42_D1, 1695 contigs, total 2026693 bp, min 207 bp, max 20699 bp, avg 1196 bp, N50 1960 bp
W42_D5, 382 contigs, total 11361574 bp, min 210 bp, max 352341 bp, avg 29742 bp, N50 95577 bp
W43_D1, 487 contigs, total 213093 bp, min 219 bp, max 1815 bp, avg 438 bp, N50 421 bp
W44_D1, 5733 contigs, total 6226776 bp, min 213 bp, max 355016 bp, avg 1086 bp, N50 1263 bp
W45_D1, 1895 contigs, total 3493293 bp, min 207 bp, max 251957 bp, avg 1843 bp, N50 85308 bp
W46_D1, 2502 contigs, total 1085969 bp, min 201 bp, max 1979 bp, avg 434 bp, N50 429 bp
W47_D1, 492 contigs, total 6880436 bp, min 200 bp, max 576774 bp, avg 13985 bp, N50 196731 bp
W48_D1, 541 contigs, total 6899221 bp, min 201 bp, max 697711 bp, avg 12753 bp, N50 193188 bp
W49_D1, 239 contigs, total 6767614 bp, min 202 bp, max 697711 bp, avg 28316 bp, N50 211462 bp
W4_D1, 2469 contigs, total 6340822 bp, min 202 bp, max 32642 bp, avg 2568 bp, N50 4206 bp
W50_D1, 184 contigs, total 6742691 bp, min 206 bp, max 697711 bp, avg 36645 bp, N50 193188 bp
W51_D1, 398 contigs, total 6823530 bp, min 200 bp, max 697711 bp, avg 17145 bp, N50 193188 bp
W52_D1,
W52_D5, 273 contigs, total 9374444 bp, min 201 bp, max 703195 bp, avg 34339 bp, N50 188889 bp
W53_D1, 481 contigs, total 9503448 bp, min 200 bp, max 870709 bp, avg 19758 bp, N50 182873 bp
W53_D5, 868 contigs, total 9603426 bp, min 225 bp, max 661156 bp, avg 11064 bp, N50 152193 bp
W54_D1, 871 contigs, total 9653404 bp, min 201 bp, max 594561 bp, avg 11083 bp, N50 178163 bp
W54_D5, 456 contigs, total 9445219 bp, min 218 bp, max 642771 bp, avg 20713 bp, N50 177614 bp
W55_D1, 31 contigs, total 16164 bp, min 201 bp, max 2357 bp, avg 521 bp, N50 454 bp
W56_D1, 5055 contigs, total 8613017 bp, min 202 bp, max 387768 bp, avg 1704 bp, N50 2425 bp
W57_D1, 615 contigs, total 292482 bp, min 202 bp, max 9414 bp, avg 476 bp, N50 450 bp
W58_D1, 1823 contigs, total 9313890 bp, min 200 bp, max 290868 bp, avg 5109 bp, N50 57679 bp
W58_D5, 2291 contigs, total 6143928 bp, min 201 bp, max 1037801 bp, avg 2682 bp, N50 269455 bp
W59_D1, 4703 contigs, total 13891135 bp, min 201 bp, max 1038056 bp, avg 2954 bp, N50 18953 bp
W59_D5, 2601 contigs, total 6450044 bp, min 201 bp, max 593126 bp, avg 2480 bp, N50 162970 bp
W5_D1, 1115 contigs, total 6921161 bp, min 200 bp, max 557549 bp, avg 6207 bp, N50 165929 bp
W60_D1, 3346 contigs, total 12789454 bp, min 206 bp, max 589648 bp, avg 3822 bp, N50 13223 bp
W60_D5, 1939 contigs, total 6010854 bp, min 202 bp, max 970442 bp, avg 3100 bp, N50 269003 bp
W61_D1, 1913 contigs, total 1049734 bp, min 201 bp, max 8872 bp, avg 549 bp, N50 551 bp
W61_D5, 605 contigs, total 3961874 bp, min 205 bp, max 150215 bp, avg 6549 bp, N50 69726 bp
W62_D1, 1141 contigs, total 4174555 bp, min 201 bp, max 131053 bp, avg 3659 bp, N50 50600 bp
W62_D5, 148 contigs, total 60481 bp, min 201 bp, max 1278 bp, avg 409 bp, N50 400 bp
W63_D1, 50 contigs, total 20961 bp, min 201 bp, max 1154 bp, avg 419 bp, N50 405 bp
W63_D5, 599 contigs, total 3972756 bp, min 207 bp, max 150215 bp, avg 6632 bp, N50 67927 bp
W64_D1, 3448 contigs, total 7271880 bp, min 200 bp, max 230949 bp, avg 2109 bp, N50 53280 bp
W64_D5, 1114 contigs, total 5733246 bp, min 201 bp, max 505285 bp, avg 5147 bp, N50 118111 bp
W65_D1, 3623 contigs, total 4107268 bp, min 201 bp, max 17148 bp, avg 1134 bp, N50 1602 bp
W65_D5, 650 contigs, total 5452433 bp, min 209 bp, max 181196 bp, avg 8388 bp, N50 58257 bp
W66_D1, 708 contigs, total 5339171 bp, min 201 bp, max 282099 bp, avg 7541 bp, N50 21915 bp
W66_D5, 2647 contigs, total 7019467 bp, min 201 bp, max 505377 bp, avg 2652 bp, N50 81680 bp
W67_D1, 2511 contigs, total 2001833 bp, min 201 bp, max 5589 bp, avg 797 bp, N50 947 bp
W67_D5, 179 contigs, total 2864493 bp, min 200 bp, max 355540 bp, avg 16003 bp, N50 171716 bp
W68_D1, 307 contigs, total 2980857 bp, min 200 bp, max 329536 bp, avg 9710 bp, N50 176002 bp
W68_D5, 310 contigs, total 2919417 bp, min 208 bp, max 504901 bp, avg 9417 bp, N50 175997 bp
W69_D1, 1862 contigs, total 3672609 bp, min 200 bp, max 45297 bp, avg 1972 bp, N50 8416 bp
W69_D5, 132 contigs, total 2846172 bp, min 207 bp, max 505285 bp, avg 21562 bp, N50 171701 bp
W6_D1, 1285 contigs, total 6770254 bp, min 202 bp, max 135353 bp, avg 5269 bp, N50 23717 bp
W70_D1, 365 contigs, total 3093453 bp, min 201 bp, max 343648 bp, avg 8475 bp, N50 145468 bp
W70_D5, 231 contigs, total 2992211 bp, min 204 bp, max 348605 bp, avg 12953 bp, N50 145302 bp
W71_D1, 127 contigs, total 52418 bp, min 215 bp, max 3335 bp, avg 413 bp, N50 383 bp
W71_D5, 193 contigs, total 2971531 bp, min 207 bp, max 383335 bp, avg 15397 bp, N50 148370 bp
W72_D1, 500 contigs, total 2917098 bp, min 200 bp, max 78263 bp, avg 5834 bp, N50 13475 bp
W72_D5, 194 contigs, total 2967164 bp, min 201 bp, max 348603 bp, avg 15295 bp, N50 145574 bp
W73_D1, 1761 contigs, total 923282 bp, min 201 bp, max 3543 bp, avg 524 bp, N50 528 bp
W73_D5, 784 contigs, total 3209048 bp, min 207 bp, max 383287 bp, avg 4093 bp, N50 148369 bp
W74_D1, 129 contigs, total 2937756 bp, min 200 bp, max 163260 bp, avg 22773 bp, N50 80431 bp
W74_D5, 298 contigs, total 3012387 bp, min 207 bp, max 383434 bp, avg 10109 bp, N50 148370 bp
W75_D1, 113 contigs, total 2937830 bp, min 207 bp, max 348659 bp, avg 25998 bp, N50 145517 bp
W75_D5, 181 contigs, total 2970436 bp, min 202 bp, max 383434 bp, avg 16411 bp, N50 148370 bp
W7_D1, 2923 contigs, total 4235699 bp, min 202 bp, max 864895 bp, avg 1449 bp, N50 64944 bp
W7_D5, 4755 contigs, total 5411243 bp, min 202 bp, max 864782 bp, avg 1138 bp, N50 20192 bp
W82_D1, 82 contigs, total 2862006 bp, min 202 bp, max 864837 bp, avg 34903 bp, N50 148369 bp
W82_D5, 153 contigs, total 2894968 bp, min 202 bp, max 864967 bp, avg 18921 bp, N50 148369 bp
W83_D1, 92 contigs, total 2864280 bp, min 202 bp, max 864567 bp, avg 31133 bp, N50 148369 bp
W83_D5, 98 contigs, total 2866822 bp, min 201 bp, max 864836 bp, avg 29253 bp, N50 148369 bp
W84_D1, 81 contigs, total 2861868 bp, min 202 bp, max 864778 bp, avg 35332 bp, N50 148776 bp
W84_D5, 141 contigs, total 2887364 bp, min 202 bp, max 864933 bp, avg 20478 bp, N50 148314 bp
W85_D1, 72 contigs, total 2858514 bp, min 202 bp, max 864700 bp, avg 39702 bp, N50 159148 bp
W85_D5, 167 contigs, total 2902906 bp, min 202 bp, max 535023 bp, avg 17383 bp, N50 148369 bp
W86_D1, 88 contigs, total 2863513 bp, min 202 bp, max 808450 bp, avg 32540 bp, N50 142093 bp
W86_D5, 526 contigs, total 7112576 bp, min 200 bp, max 534602 bp, avg 13522 bp, N50 189829 bp
W87_D1, 85 contigs, total 2862632 bp, min 202 bp, max 864837 bp, avg 33678 bp, N50 148369 bp
W87_D5, 148 contigs, total 2883988 bp, min 200 bp, max 808595 bp, avg 19486 bp, N50 148369 bp
W88_D5, 222 contigs, total 6598951 bp, min 205 bp, max 684288 bp, avg 29725 bp, N50 329193 bp
W89_D5, 173 contigs, total 6580835 bp, min 201 bp, max 684312 bp, avg 38040 bp, N50 298535 bp
W8_D1, 941 contigs, total 3220666 bp, min 210 bp, max 864596 bp, avg 3423 bp, N50 112495 bp
W8_D5, 165 contigs, total 2892608 bp, min 202 bp, max 864836 bp, avg 17531 bp, N50 148308 bp
W90_D5, 314 contigs, total 6637562 bp, min 202 bp, max 684300 bp, avg 21139 bp, N50 298535 bp
W91_D5, 100 contigs, total 2867560 bp, min 202 bp, max 864825 bp, avg 28676 bp, N50 201986 bp
W92_D5, 377 contigs, total 9432216 bp, min 202 bp, max 684312 bp, avg 25019 bp, N50 115413 bp
W93_D5, 378 contigs, total 9424875 bp, min 202 bp, max 684312 bp, avg 24934 bp, N50 187338 bp
W9_D1, 712 contigs, total 3122665 bp, min 201 bp, max 860132 bp, avg 4386 bp, N50 148369 bp
W9_D5, 91 contigs, total 2864829 bp, min 202 bp, max 717616 bp, avg 31482 bp, N50 142050 bp
Wound_prelim_Virome_1, 107 contigs, total 2867104 bp, min 202 bp, max 517137 bp, avg 26795 bp, N50 142432 bp
Wound_prelim_Virome_2, 819 contigs, total 2922204 bp, min 230 bp, max 36197 bp, avg 3568 bp, N50 6805 bp
Wound_prelim_Virome_3, 87 contigs, total 2858458 bp, min 265 bp, max 277623 bp, avg 32856 bp, N50 107311 bp
ZYMO_microprep_reagents, 8 contigs, total 2538 bp, min 215 bp, max 442 bp, avg 317 bp, N50 404 bp
ZYMO_Standard, 6376 contigs, total 31035706 bp, min 201 bp, max 124468 bp, avg 4868 bp, N50 10342 bp
ZYMO_viral_reagents,
